strategy,symbol,entry_time,entry_price,tp_price,sl_price,outcome,hit_time,hit_price,realized_pnl_usd,final_price,final_unrealized_pnl_usd
TP 5% / SL 2.5%,CNX,2025-09-23 10:00:20.163097+00:00,57.63531723012122,60.51708309162728,56.19443429936818,no_hit,,,-0.07731903712725466,57.18968650684553,-0.07731903712725466
TP 5% / SL 2.5%,DOGE,2025-09-23 10:00:20.163097+00:00,0.24011896802991672,0.25212491643141255,0.2341159938291688,no_hit,,,-0.056854125964406435,0.2387537926244351,-0.056854125964406435
TP 5% / SL 2.5%,ETC,2025-09-23 10:00:20.163097+00:00,18.62549207712627,19.556766680982584,18.159854775198113,no_hit,,,0.13609949390848597,18.87898408167561,0.13609949390848597
TP 5% / SL 2.5%,FLR,2025-09-23 10:00:20.163097+00:00,0.02369964,0.024884622000000002,0.023107149,no_hit,,,-0.07691256069712449,0.02351736,-0.07691256069712449
TP 5% / SL 2.5%,HBAR,2025-09-23 10:00:20.163097+00:00,0.22158655842908648,0.2326658863505408,0.2160468944683593,no_hit,,,-0.07309963304635933,0.2199667688181693,-0.07309963304635933
TP 5% / SL 2.5%,ICP,2025-09-23 10:00:20.163097+00:00,4.3269519130929055,4.543299508747551,4.218778115265582,no_hit,,,-0.0028685943934585027,4.325710686093039,-0.0028685943934585027
TP 5% / SL 2.5%,INSURANCE,2025-09-23 10:00:20.163097+00:00,115.12340928096523,120.8795797450135,112.2453240489411,no_hit,,,0.06044015523595499,115.81921695378863,0.06044015523595499
TP 5% / SL 2.5%,L1X,2025-09-23 10:00:20.163097+00:00,17.268180245387512,18.131589257656888,16.836475739252823,no_hit,,,-0.02559511408564648,17.223982141044292,-0.02559511408564648
TP 5% / SL 2.5%,LEO,2025-09-23 10:00:20.163097+00:00,9.484196231309511,9.958406042874987,9.247091325526773,no_hit,,,0.013071901480934392,9.496593879185664,0.013071901480934392
TP 5% / SL 2.5%,LINK,2025-09-23 10:00:20.163097+00:00,21.53569303431039,22.612477686025912,20.99730070845263,no_hit,,,0.05708337286903276,21.65862603385745,0.05708337286903276
TP 5% / SL 2.5%,LSETH,2025-09-23 10:00:20.163097+00:00,4530.787884457101,4757.327278679957,4417.518187345674,no_hit,,,-0.060170417355828495,4503.52594466125,-0.060170417355828495
TP 5% / SL 2.5%,MRS,2025-09-24 01:05:58.767496+00:00,19.818487540499998,20.809411917524997,19.323025351987496,tp,2025-09-24 03:06:44.293854+00:00,24.926195528309098,0.5,23.609454963738116,0.0
TP 5% / SL 2.5%,MYX,2025-09-23 10:00:20.163097+00:00,9.226760513332975,9.688098538999624,8.99609150049965,tp,2025-09-23 20:04:08.543883+00:00,9.769439636642677,0.5,8.70456058878385,0.0
TP 5% / SL 2.5%,NEAR,2025-09-23 10:00:20.163097+00:00,2.9659542541372454,3.1142519668441078,2.891805397783814,tp,2025-09-23 18:03:24.302506+00:00,3.11741943374877,0.5,2.9687903715334056,0.0
TP 5% / SL 2.5%,OKB,2025-09-23 10:00:20.163097+00:00,183.56287434293898,192.74101806008593,178.9738024843655,no_hit,,,-0.16332852174098825,180.56476905164308,-0.16332852174098825
TP 5% / SL 2.5%,PENGU,2025-09-23 10:00:20.163097+00:00,0.03052663332236611,0.032052964988484416,0.029763467489306958,sl,2025-09-23 15:02:16.162829+00:00,0.02975862943163513,-0.25,0.02956038208349984,0.0
TP 5% / SL 2.5%,PEPE,2025-09-23 10:00:20.163097+00:00,9.621446700679396e-06,1.0102519035713366e-05,9.380910533162411e-06,no_hit,,,0.00026090587485560893,9.621697729876278e-06,0.00026090587485560893
TP 5% / SL 2.5%,POL,2025-09-23 10:00:20.163097+00:00,0.2269432786663184,0.2382904425996343,0.22126969669966043,no_hit,,,-0.12118951113249489,0.22419296416668072,-0.12118951113249489
TP 5% / SL 2.5%,PUMP,2025-09-23 10:00:20.163097+00:00,0.00562369,0.0059048745,0.00548309775,no_hit,,,0.4150833349633437,0.00585712,0.4150833349633437
TP 5% / SL 2.5%,RYO,2025-09-23 10:00:20.163097+00:00,6.675132195507821,7.008888805283212,6.508253890620125,no_hit,,,0.04679738631223236,6.706370069511661,0.04679738631223236
TP 5% / SL 2.5%,SEI,2025-09-23 10:00:20.163097+00:00,0.28846148829519425,0.30288456270995395,0.28124995108781436,no_hit,,,0.07108507377353754,0.2905120189128231,0.07108507377353754
TP 5% / SL 2.5%,SHIB,2025-09-23 10:00:20.163097+00:00,1.2088276419813053e-05,1.2692690240803705e-05,1.1786069509317725e-05,no_hit,,,0.020755383686762024,1.2113366101333538e-05,0.020755383686762024
TP 5% / SL 2.5%,STETH,2025-09-23 10:00:20.163097+00:00,4185.830180880786,4395.121689924826,4081.184426358767,no_hit,,,-0.05622793418306282,4162.294122489582,-0.05622793418306282
TP 5% / SL 2.5%,SUI,2025-09-23 10:00:20.163097+00:00,3.3636717545544768,3.5318553422822005,3.2795799606906146,no_hit,,,-0.07669847811978907,3.337872904107592,-0.07669847811978907
TP 5% / SL 2.5%,SUSDE,2025-09-23 10:00:20.163097+00:00,1.1973819426883159,1.2572510398227317,1.1674473941211079,no_hit,,,-0.010205055550675343,1.196160007764265,-0.010205055550675343
TP 5% / SL 2.5%,SUSDS,2025-09-23 10:00:20.163097+00:00,1.068,1.1214000000000002,1.0413000000000001,no_hit,,,0.05617977528089893,1.074,0.05617977528089893
TP 5% / SL 2.5%,T99,2025-09-23 10:00:20.163097+00:00,0.16970172501119615,0.17818681126175598,0.16545918188591624,no_hit,,,-0.009154026610780306,0.16954637960053137,-0.009154026610780306
TP 5% / SL 2.5%,TAO,2025-09-23 10:00:20.163097+00:00,316.73600504439395,332.57280529661364,308.8176049182841,no_hit,,,-0.22555293006253777,309.59193164498737,-0.22555293006253777
TP 5% / SL 2.5%,UNI,2025-09-23 10:00:20.163097+00:00,8.204094226053533,8.61429893735621,7.998991870402194,no_hit,,,-0.17050734537649315,8.064208393283232,-0.17050734537649315
TP 5% / SL 2.5%,USDTB,2025-09-23 10:00:20.163097+00:00,0.999941,1.04993805,0.974942475,no_hit,,,0.0005900348120542237,1.0,0.0005900348120542237
TP 5% / SL 2.5%,UZX,2025-09-23 10:00:20.163097+00:00,2.7359540744516213,2.8727517781742025,2.6675552225903307,no_hit,,,-0.0809910351431058,2.713795299192238,-0.0809910351431058
TP 5% / SL 2.5%,WBETH,2025-09-23 10:00:20.163097+00:00,4523.004729349225,4749.154965816687,4409.9296111154945,no_hit,,,-0.07411915725970797,4489.4805994671215,-0.07411915725970797
TP 5% / SL 2.5%,WEETH,2025-09-23 10:00:20.163097+00:00,4503.268573111907,4728.432001767503,4390.686858784109,no_hit,,,-0.04935887041128545,4481.040948119163,-0.04935887041128545
TP 5% / SL 2.5%,WLFI,2025-09-23 10:00:20.163097+00:00,0.21288,0.22352400000000003,0.20755800000000002,sl,2025-09-23 13:01:29.588835+00:00,0.207337,-0.25,0.195567613873244,0.0
TP 5% / SL 2.5%,ZETRIX,2025-09-23 10:00:20.163097+00:00,14.384535506349525,15.103762281667002,14.024922118690787,no_hit,,,-0.23284191013187916,14.0496032339837,-0.23284191013187916
TP 6% / SL 2%,ALGO,2025-09-23 10:00:20.163097+00:00,0.21305624905858864,0.22583962400210397,0.20879512407741685,no_hit,,,0.01993975833458364,0.21348107807037875,0.01993975833458364
TP 6% / SL 2%,APT,2025-09-23 10:00:20.163097+00:00,4.262954311006833,4.518731569667244,4.177695224786697,no_hit,,,0.02913050510847547,4.2753725122402315,0.02913050510847547
TP 6% / SL 2%,ARB,2025-09-23 10:00:20.163097+00:00,0.4360607052784293,0.46222434759513503,0.4273394911728607,sl,2025-09-23 13:01:29.588835+00:00,0.4270013081615826,-0.2,0.43321264404050086,0.0
TP 6% / SL 2%,BGB,2025-09-23 10:00:20.163097+00:00,5.144799814025732,5.453487802867277,5.041903817745217,no_hit,,,0.19280065431127896,5.243991891070203,0.19280065431127896
TP 6% / SL 2%,CBBTC,2025-09-23 10:00:20.163097+00:00,112760.1910500108,119525.80251301145,110504.98722901058,no_hit,,,-0.08245827269027453,111830.38999178988,-0.08245827269027453
TP 6% / SL 2%,CNX,2025-09-23 10:00:20.163097+00:00,57.63531723012122,61.093436263928496,56.48261088551879,no_hit,,,-0.07731903712725466,57.18968650684553,-0.07731903712725466
TP 6% / SL 2%,DOGE,2025-09-23 10:00:20.163097+00:00,0.24011896802991672,0.2545261061117117,0.23531658866931837,no_hit,,,-0.056854125964406435,0.2387537926244351,-0.056854125964406435
TP 6% / SL 2%,ETC,2025-09-23 10:00:20.163097+00:00,18.62549207712627,19.74302160175385,18.252982235583744,no_hit,,,0.13609949390848597,18.87898408167561,0.13609949390848597
TP 6% / SL 2%,FLR,2025-09-23 10:00:20.163097+00:00,0.02369964,0.025121618400000004,0.0232256472,no_hit,,,-0.07691256069712449,0.02351736,-0.07691256069712449
TP 6% / SL 2%,HBAR,2025-09-23 10:00:20.163097+00:00,0.22158655842908648,0.23488175193483168,0.21715482726050475,no_hit,,,-0.07309963304635933,0.2199667688181693,-0.07309963304635933
TP 6% / SL 2%,ICP,2025-09-23 10:00:20.163097+00:00,4.3269519130929055,4.58656902787848,4.240412874831048,no_hit,,,-0.0028685943934585027,4.325710686093039,-0.0028685943934585027
TP 6% / SL 2%,INSURANCE,2025-09-23 10:00:20.163097+00:00,115.12340928096523,122.03081383782316,112.82094109534593,no_hit,,,0.06044015523595499,115.81921695378863,0.06044015523595499
TP 6% / SL 2%,L1X,2025-09-23 10:00:20.163097+00:00,17.268180245387512,18.304271060110764,16.922816640479763,no_hit,,,-0.02559511408564648,17.223982141044292,-0.02559511408564648
TP 6% / SL 2%,LEO,2025-09-23 10:00:20.163097+00:00,9.484196231309511,10.053248005188083,9.29451230668332,no_hit,,,0.013071901480934392,9.496593879185664,0.013071901480934392
TP 6% / SL 2%,LINK,2025-09-23 10:00:20.163097+00:00,21.53569303431039,22.827834616369017,21.104979173624184,no_hit,,,0.05708337286903276,21.65862603385745,0.05708337286903276
TP 6% / SL 2%,LSETH,2025-09-23 10:00:20.163097+00:00,4530.787884457101,4802.635157524528,4440.1721267679595,no_hit,,,-0.060170417355828495,4503.52594466125,-0.060170417355828495
TP 6% / SL 2%,MRS,2025-09-24 01:05:58.767496+00:00,19.818487540499998,21.00759679293,19.42211778969,tp,2025-09-24 03:06:44.293854+00:00,24.926195528309098,0.6,23.609454963738116,0.0
